"Gene ID","source_id","Input Order","Organism","Genomic Location (Gene)","Input ID","Search Weight","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes","EC numbers","EC numbers from OrthoMCL"
"PF3D7_0100100","PF3D7_0100100.1","532","Plasmodium falciparum 3D7","Pf3D7_01_v3:29,510..37,126(+)","PF3D7_0100100","10","GO:0016021","integral component of membrane","GO:0046789","host cell surface receptor binding","GO:0009405","obsolete pathogenesis","GO:0020002;GO:0020030","host cell plasma membrane;infected host cell surface knob","GO:0050839","cell adhesion molecule binding","GO:0020033;GO:0098609;GO:0020035;GO:0020013","antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation","N/A","N/A"
"PF3D7_0100200","PF3D7_0100200.1","4299","Plasmodium falciparum 3D7","Pf3D7_01_v3:38,982..40,207(-)","PF3D7_0100200","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020036;GO:0020002;GO:0020003","Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole","N/A","N/A","GO:0020033;GO:0020035;GO:0020013","antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation","N/A","N/A"
"PF3D7_0100300","PF3D7_0100300.1","1179","Plasmodium falciparum 3D7","Pf3D7_01_v3:42,367..46,507(-)","PF3D7_0100300","10","GO:0016021","integral component of membrane","GO:0046789","host cell surface receptor binding","GO:0009405","obsolete pathogenesis","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0100400","PF3D7_0100400.1","3909","Plasmodium falciparum 3D7","Pf3D7_01_v3:50,363..51,636(+)","PF3D7_0100400","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020036;GO:0020002;GO:0020003","Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole","GO:0046812","host cell surface binding","GO:0020033;GO:0020035;GO:0020013","antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation","N/A","N/A"
"PF3D7_0100600","PF3D7_0100600.1","4034","Plasmodium falciparum 3D7","Pf3D7_01_v3:53,778..55,006(-)","PF3D7_0100600","10","GO:0016021;GO:0016020","integral component of membrane;membrane","N/A","N/A","N/A","N/A","GO:0020002","host cell plasma membrane","N/A","N/A","GO:0020033","antigenic variation","N/A","N/A"
"PF3D7_0100700","PF3D7_0100700.1","6288","Plasmodium falciparum 3D7","Pf3D7_01_v3:56,690..56,893(-)","PF3D7_0100700","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0100800","PF3D7_0100800.1","4177","Plasmodium falciparum 3D7","Pf3D7_01_v3:59,772..61,003(+)","PF3D7_0100800","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020036;GO:0020002;GO:0020003","Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole","N/A","N/A","GO:0020033;GO:0020035;GO:0020013","antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation","N/A","N/A"
"PF3D7_0100900","PF3D7_0100900.1","4113","Plasmodium falciparum 3D7","Pf3D7_01_v3:62,187..63,400(-)","PF3D7_0100900","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020036;GO:0020002;GO:0020003","Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole","N/A","N/A","GO:0020033;GO:0020035;GO:0020013","antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation","N/A","N/A"
"PF3D7_0101000","PF3D7_0101000.1","4055","Plasmodium falciparum 3D7","Pf3D7_01_v3:65,817..66,989(-)","PF3D7_0101000","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020036;GO:0020002;GO:0020003","Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole","N/A","N/A","GO:0020033;GO:0020035;GO:0020013","antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation","N/A","N/A"
"PF3D7_0101100","PF3D7_0101100.1","4511","Plasmodium falciparum 3D7","Pf3D7_01_v3:69,304..70,417(-)","PF3D7_0101100","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020036","Maurer's cleft","N/A","N/A","N/A","N/A","N/A","N/A"
