From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
AAM55194	Q8MWQ3	unreviewed	Q8MWQ3_PLAFA	Erythrocyte membrane protein 1	var	Plasmodium falciparum (malaria parasite P. falciparum)	3207			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
AAQ73930	Q6UDW3	unreviewed	Q6UDW3_PLAFA	Erythrocyte membrane protein 1	var	Plasmodium falciparum (malaria parasite P. falciparum)	3094			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
AAQ73928	Q6UDW5	unreviewed	Q6UDW5_PLAFA	Erythrocyte membrane protein 1	var	Plasmodium falciparum (malaria parasite P. falciparum)	3027			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
AAB60251	Q25733	unreviewed	Q25733_PLAFA	PfEMP1 variant 1 of strain MC	MCvar-1 PfEMP1	Plasmodium falciparum (malaria parasite P. falciparum)	2924		host cell surface [GO:0044228]	host cell surface [GO:0044228]; host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0044228; GO:0046789			
AAC47438	P90580	unreviewed	P90580_PLAFA	FCR3-varT11-1 protein	FCR3-varT11-1	Plasmodium falciparum (malaria parasite P. falciparum)	2647			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
ACJ68328	B7T1P0	unreviewed	B7T1P0_PLAFA	Erythrocyte membrane protein 1	varO	Plasmodium falciparum (malaria parasite P. falciparum)	2459		membrane [GO:0016020]	membrane [GO:0016020]; host cell surface receptor binding [GO:0046789]; metal ion binding [GO:0046872]	host cell surface receptor binding [GO:0046789]; metal ion binding [GO:0046872]	GO:0016020; GO:0046789; GO:0046872			
AAQ73927	Q6UDW6	unreviewed	Q6UDW6_PLAFA	Erythrocyte membrane protein 1	var	Plasmodium falciparum (malaria parasite P. falciparum)	2322			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
AAC05220	O61077	unreviewed	O61077_PLAFA	Variant-specific surface protein	varph17	Plasmodium falciparum (malaria parasite P. falciparum)	2135			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
AAQ73929	Q6UDW4	unreviewed	Q6UDW4_PLAFA	Erythrocyte membrane protein 1	var	Plasmodium falciparum (malaria parasite P. falciparum)	1322			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
AAN86340	Q8I957	unreviewed	Q8I957_PLAFA	Erythrocyte membrane protein 1 varPAM		Plasmodium falciparum (malaria parasite P. falciparum)	1255			host cell surface receptor binding [GO:0046789]	host cell surface receptor binding [GO:0046789]	GO:0046789			
