From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
YP_008126843.1	B6RUN5	unreviewed	B6RUN5_ROTGA	RNA-directed RNA polymerase (EC 2.7.7.48)	VP1	Rotavirus B (isolate RVB/Human/China/ADRV/1982) (RV-B) (Rotavirus B (isolate adult diarrhea rotavirus))	1160	DNA-templated transcription [GO:0006351]; viral genome replication [GO:0019079]		nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; RNA-dependent RNA polymerase activity [GO:0003968]; DNA-templated transcription [GO:0006351]; viral genome replication [GO:0019079]	nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; RNA-dependent RNA polymerase activity [GO:0003968]	GO:0000166; GO:0003723; GO:0003968; GO:0006351; GO:0019079			
YP_008126847.1	Q6XD91	unreviewed	Q6XD91_ROTGA	Inner capsid protein VP2	VP2	Rotavirus B (isolate RVB/Human/China/ADRV/1982) (RV-B) (Rotavirus B (isolate adult diarrhea rotavirus))	934		T=2 icosahedral viral capsid [GO:0039616]; viral inner capsid [GO:0039625]; viral nucleocapsid [GO:0019013]	T=2 icosahedral viral capsid [GO:0039616]; viral inner capsid [GO:0039625]; viral nucleocapsid [GO:0019013]; RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723; GO:0019013; GO:0039616; GO:0039625			
NP_067544.1	Q05586	reviewed	NMDZ1_HUMAN	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	GRIN1 NMDAR1	Homo sapiens (Human)	938	brain development [GO:0007420]; calcium ion homeostasis [GO:0055074]; calcium ion transmembrane import into cytosol [GO:0097553]; cation transmembrane transport [GO:0098655]; cation transport [GO:0006812]; chemical synaptic transmission [GO:0007268]; excitatory chemical synaptic transmission [GO:0098976]; excitatory postsynaptic potential [GO:0060079]; ionotropic glutamate receptor signaling pathway [GO:0035235]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cysteine-type endopeptidase activity [GO:2001056]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of transcription by RNA polymerase II [GO:0045944]; propylene metabolic process [GO:0018964]; protein heterotetramerization [GO:0051290]; regulation of cation transmembrane transport [GO:1904062]; regulation of membrane potential [GO:0042391]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of synaptic plasticity [GO:0048167]; response to ethanol [GO:0045471]; response to glycine [GO:1905429]; visual learning [GO:0008542]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; excitatory synapse [GO:0060076]; neuron projection [GO:0043005]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; synaptic cleft [GO:0043083]; synaptic membrane [GO:0097060]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; excitatory synapse [GO:0060076]; neuron projection [GO:0043005]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; synaptic cleft [GO:0043083]; synaptic membrane [GO:0097060]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]; amyloid-beta binding [GO:0001540]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; glutamate binding [GO:0016595]; glutamate-gated calcium ion channel activity [GO:0022849]; glycine binding [GO:0016594]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter binding [GO:0042165]; NMDA glutamate receptor activity [GO:0004972]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; brain development [GO:0007420]; calcium ion homeostasis [GO:0055074]; calcium ion transmembrane import into cytosol [GO:0097553]; cation transmembrane transport [GO:0098655]; cation transport [GO:0006812]; chemical synaptic transmission [GO:0007268]; excitatory chemical synaptic transmission [GO:0098976]; excitatory postsynaptic potential [GO:0060079]; ionotropic glutamate receptor signaling pathway [GO:0035235]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cysteine-type endopeptidase activity [GO:2001056]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of transcription by RNA polymerase II [GO:0045944]; propylene metabolic process [GO:0018964]; protein heterotetramerization [GO:0051290]; regulation of cation transmembrane transport [GO:1904062]; regulation of membrane potential [GO:0042391]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of synaptic plasticity [GO:0048167]; response to ethanol [GO:0045471]; response to glycine [GO:1905429]; visual learning [GO:0008542]	amyloid-beta binding [GO:0001540]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; glutamate binding [GO:0016595]; glutamate-gated calcium ion channel activity [GO:0022849]; glycine binding [GO:0016594]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter binding [GO:0042165]; NMDA glutamate receptor activity [GO:0004972]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]	GO:0001540; GO:0004972; GO:0005509; GO:0005516; GO:0005737; GO:0005789; GO:0005886; GO:0006812; GO:0007268; GO:0007420; GO:0008021; GO:0008542; GO:0009986; GO:0010524; GO:0014069; GO:0015276; GO:0016594; GO:0016595; GO:0017146; GO:0018964; GO:0022849; GO:0030425; GO:0035235; GO:0038023; GO:0042165; GO:0042391; GO:0043005; GO:0043083; GO:0043195; GO:0043197; GO:0044877; GO:0045202; GO:0045211; GO:0045471; GO:0045944; GO:0048167; GO:0048168; GO:0051290; GO:0051968; GO:0055074; GO:0060076; GO:0060079; GO:0097060; GO:0097553; GO:0098655; GO:0098976; GO:1903428; GO:1904062; GO:1905429; GO:2000463; GO:2001056			
NP_065857.1	Q9NQX3	reviewed	GEPH_HUMAN	Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	GPHN GPH KIAA1385	Homo sapiens (Human)	736	establishment of synaptic specificity at neuromuscular junction [GO:0007529]; gamma-aminobutyric acid receptor clustering [GO:0097112]; glycine receptor clustering [GO:0072579]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315]; molybdopterin cofactor biosynthetic process [GO:0032324]; postsynaptic neurotransmitter receptor diffusion trapping [GO:0098970]; response to metal ion [GO:0010038]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendrite [GO:0030425]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; postsynaptic specialization [GO:0099572]; postsynaptic specialization membrane [GO:0099634]; synaptic membrane [GO:0097060]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendrite [GO:0030425]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; postsynaptic specialization [GO:0099572]; postsynaptic specialization membrane [GO:0099634]; synaptic membrane [GO:0097060]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; molybdopterin adenylyltransferase activity [GO:0061598]; molybdopterin cofactor binding [GO:0043546]; molybdopterin molybdotransferase activity [GO:0061599]; nitrate reductase activity [GO:0008940]; establishment of synaptic specificity at neuromuscular junction [GO:0007529]; gamma-aminobutyric acid receptor clustering [GO:0097112]; glycine receptor clustering [GO:0072579]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315]; molybdopterin cofactor biosynthetic process [GO:0032324]; postsynaptic neurotransmitter receptor diffusion trapping [GO:0098970]; response to metal ion [GO:0010038]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; molybdopterin adenylyltransferase activity [GO:0061598]; molybdopterin cofactor binding [GO:0043546]; molybdopterin molybdotransferase activity [GO:0061599]; nitrate reductase activity [GO:0008940]	GO:0005524; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006777; GO:0007529; GO:0008940; GO:0010038; GO:0014069; GO:0018315; GO:0030425; GO:0032324; GO:0042802; GO:0043546; GO:0045211; GO:0046872; GO:0061598; GO:0061599; GO:0072579; GO:0097060; GO:0097112; GO:0098970; GO:0099572; GO:0099634			
YP_008126855.1	B6RUN8	unreviewed	B6RUN8_ROTGA	Structural protein VP3 (VP3)	VP3	Rotavirus B (isolate RVB/Human/China/ADRV/1982) (RV-B) (Rotavirus B (isolate adult diarrhea rotavirus))	763								
YP_008126845.1	Q6XD93	unreviewed	Q6XD93_ROTGA	Outer capsid protein VP4 (Hemagglutinin)	VP4	Rotavirus B (isolate RVB/Human/China/ADRV/1982) (RV-B) (Rotavirus B (isolate adult diarrhea rotavirus))	750	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]; viral entry via permeabilization of inner membrane [GO:0099008]; virion attachment to host cell [GO:0019062]	host cell endoplasmic reticulum-Golgi intermediate compartment [GO:0044172]; host cell plasma membrane [GO:0020002]; host cell rough endoplasmic reticulum [GO:0044168]; membrane [GO:0016020]; viral outer capsid [GO:0039624]	host cell endoplasmic reticulum-Golgi intermediate compartment [GO:0044172]; host cell plasma membrane [GO:0020002]; host cell rough endoplasmic reticulum [GO:0044168]; membrane [GO:0016020]; viral outer capsid [GO:0039624]; permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]; viral entry via permeabilization of inner membrane [GO:0099008]; virion attachment to host cell [GO:0019062]		GO:0016020; GO:0019062; GO:0020002; GO:0039624; GO:0039665; GO:0044168; GO:0044172; GO:0099008			
NP_001290043.1	B7Z1K5	unreviewed	B7Z1K5_HUMAN	Tubulin alpha chain		Homo sapiens (Human)	519	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017			
NP_001290043.1	F5H5D3	unreviewed	F5H5D3_HUMAN	Tubulin alpha chain	TUBA1C	Homo sapiens (Human)	519	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0015630			
NP_525125.2	P0DPH8	reviewed	TBA3D_HUMAN	Tubulin alpha-3D chain (EC 3.6.5.-) (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]	TUBA3D	Homo sapiens (Human)	450	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0015630; GO:0016787; GO:0046872			TISSUE SPECIFICITY: Expressed in the cornea, sclera, and peripheral blood (PubMed:29051577). {ECO:0000269|PubMed:29051577}.
NP_525125.2	Q1ZYQ1	unreviewed	Q1ZYQ1_HUMAN	Tubulin alpha chain	TUBA2 hCG_19100	Homo sapiens (Human)	450	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0015630			
