From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
A0A0C7TI59	A0A0C7TI59	unreviewed	A0A0C7TI59_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3183	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
Q8V2A4	Q8V2A4	unreviewed	Q8V2A4_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)		Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3179	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
Q3KSU8	Q3KSU8	reviewed	LTP_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3176	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
A0A0C7TVY6	A0A0C7TVY6	unreviewed	A0A0C7TVY6_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3149	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
A0A0C7T194	A0A0C7T194	unreviewed	A0A0C7T194_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3149	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
A0A0S2YRG1	A0A0S2YRG1	unreviewed	A0A0S2YRG1_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1 HHV4_BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3149	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
A0A0U3SPM0	A0A0U3SPM0	unreviewed	A0A0U3SPM0_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	3129	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
A0A075FDV0	A0A075FDV0	unreviewed	A0A075FDV0_EBVG	Large tegument protein deneddylase (EC 3.4.19.12) (EC 3.4.22.-)	BPLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	2913	modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; cysteine-type deubiquitinase activity [GO:0004843]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]	cysteine-type deubiquitinase activity [GO:0004843]	GO:0004843; GO:0006508; GO:0019033; GO:0030430; GO:0039648; GO:0042025			
U5YR53	U5YR53	unreviewed	U5YR53_EBVG	Major capsid protein (MCP)	BcLF1 MCP	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1385		host cell nucleus [GO:0042025]; T=16 icosahedral viral capsid [GO:0039622]	host cell nucleus [GO:0042025]; T=16 icosahedral viral capsid [GO:0039622]; structural molecule activity [GO:0005198]	structural molecule activity [GO:0005198]	GO:0005198; GO:0039622; GO:0042025			
A0A0C7T860	A0A0C7T860	unreviewed	A0A0C7T860_EBVG	Inner tegument protein	BOLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1244	microtubule-dependent intracellular transport of viral material towards cell periphery [GO:0039701]; virion assembly [GO:0019068]	host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; identical protein binding [GO:0042802]; microtubule-dependent intracellular transport of viral material towards cell periphery [GO:0039701]; virion assembly [GO:0019068]	identical protein binding [GO:0042802]	GO:0019033; GO:0019068; GO:0039701; GO:0042025; GO:0042802; GO:0044177			
