"Gene ID","source_id","Input Order","Organism","Genomic Location (Gene)","Input ID","Search Weight","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes","EC numbers","EC numbers from OrthoMCL"
"PF3D7_0100700","PF3D7_0100700.1","1590","Plasmodium falciparum 3D7","Pf3D7_01_v3:56,690..56,893(-)","PF3D7_0100700","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0105400","PF3D7_0105400.1","1550","Plasmodium falciparum 3D7","Pf3D7_01_v3:226,036..227,419(-)","PF3D7_0105400","10","GO:0016021;GO:0016020","integral component of membrane;membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0105400","PF3D7_0105400.2","1550","Plasmodium falciparum 3D7","Pf3D7_01_v3:226,036..227,419(-)","PF3D7_0105400","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0107000","PF3D7_0107000.1","1530","Plasmodium falciparum 3D7","Pf3D7_01_v3:293,262..295,139(+)","PF3D7_0107000","10","N/A","N/A","GO:0005509","calcium ion binding","N/A","N/A","GO:0005814;GO:0005813","centriole;centrosome","GO:0005509","calcium ion binding","GO:0007099;GO:0000278","centriole replication;mitotic cell cycle","N/A","1.3.1.74 (2-alkenal reductase (NAD(P)(+)));1.6.3.1 (NAD(P)H oxidase (H(2)O(2)-forming));2.7.11.1 (Non-specific serine/threonine protein kinase)"
"PF3D7_0108400","PF3D7_0108400.1","1320","Plasmodium falciparum 3D7","Pf3D7_01_v3:344,373..347,320(-)","PF3D7_0108400","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","GO:0009410","response to xenobiotic stimulus","N/A","N/A"
"PF3D7_0108400","PF3D7_0108400.2","1320","Plasmodium falciparum 3D7","Pf3D7_01_v3:344,373..347,320(-)","PF3D7_0108400","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0110900","PF3D7_0110900.1","1516","Plasmodium falciparum 3D7","Pf3D7_01_v3:419,727..420,942(-)","PF3D7_0110900","10","N/A","N/A","GO:0005524;GO:0016887;GO:0004017","ATP binding;ATP hydrolysis activity;adenylate kinase activity","N/A","N/A","GO:0005737;GO:0005829;GO:0005634","cytoplasm;cytosol;nucleus","GO:0005524;GO:0004017","ATP binding;adenylate kinase activity","N/A","N/A","2.7.4.3 (Adenylate kinase)","2.7.4.3 (Adenylate kinase)"
"PF3D7_0113300","PF3D7_0113300.1","1044","Plasmodium falciparum 3D7","Pf3D7_01_v3:504,339..507,459(-)","PF3D7_0113300","10","GO:0016021;GO:0016020","integral component of membrane;membrane","N/A","N/A","N/A","N/A","GO:0043657","host cell","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0202600","PF3D7_0202600.1","507","Plasmodium falciparum 3D7","Pf3D7_02_v3:129,336..134,329(-)","PF3D7_0202600","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0202600","PF3D7_0202600.2","507","Plasmodium falciparum 3D7","Pf3D7_02_v3:129,336..134,329(-)","PF3D7_0202600","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0205700","PF3D7_0205700.1","1485","Plasmodium falciparum 3D7","Pf3D7_02_v3:230,768..232,631(+)","PF3D7_0205700","10","N/A","N/A","GO:0003723;GO:0003676","RNA binding;nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0205700","PF3D7_0205700.2","1485","Plasmodium falciparum 3D7","Pf3D7_02_v3:230,768..232,631(+)","PF3D7_0205700","10","N/A","N/A","GO:0003723;GO:0003676","RNA binding;nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0206900","PF3D7_0206900.1","1442","Plasmodium falciparum 3D7","Pf3D7_02_v3:274,946..276,712(-)","PF3D7_0206900","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0046658;GO:0016021","anchored component of plasma membrane;integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0206900","PF3D7_0206900.2","1442","Plasmodium falciparum 3D7","Pf3D7_02_v3:274,946..276,712(-)","PF3D7_0206900","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0207600","PF3D7_0207600.1","691","Plasmodium falciparum 3D7","Pf3D7_02_v3:303,409..307,376(-)","PF3D7_0207600","10","GO:0005886","plasma membrane","GO:0008234;GO:0008236","cysteine-type peptidase activity;serine-type peptidase activity","GO:0006508","proteolysis","GO:0005615;GO:1903561;GO:0005764;GO:0005634;GO:0020004;GO:0020003","extracellular space;extracellular vesicle;lysosome;nucleus;symbiont-containing vacuolar space;symbiont-containing vacuole","GO:0004197;GO:0008234;GO:0019900;GO:0008233;GO:0005515","cysteine-type endopeptidase activity;cysteine-type peptidase activity;kinase binding;peptidase activity;protein binding","GO:0035891;GO:0002377;GO:0006508;GO:0051603;GO:0050776","exit from host cell;immunoglobulin production;proteolysis;proteolysis involved in cellular protein catabolic process;regulation of immune response","3.4.22.- (Cysteine endopeptidases.)","3.4.22.- (Cysteine endopeptidases.);3.4.22.2 (Papain)"
"PF3D7_0208700","PF3D7_0208700.1","1486","Plasmodium falciparum 3D7","Pf3D7_02_v3:356,196..358,035(-)","PF3D7_0208700","10","GO:0005634","nucleus","GO:0003899","DNA-directed 5'-3' RNA polymerase activity","GO:0006351","transcription, DNA-templated","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0216700","PF3D7_0216700.1","487","Plasmodium falciparum 3D7","Pf3D7_02_v3:689,543..695,989(+)","PF3D7_0216700","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0216700","PF3D7_0216700.2","487","Plasmodium falciparum 3D7","Pf3D7_02_v3:689,543..695,989(+)","PF3D7_0216700","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A"
"PF3D7_0219400","PF3D7_0219400.1","1567","Plasmodium falciparum 3D7","Pf3D7_02_v3:774,447..776,838(+)","PF3D7_0219400","10","GO:0005783;GO:0016021","endoplasmic reticulum;integral component of membrane","N/A","N/A","GO:0015031","protein transport","N/A","N/A","N/A","N/A","GO:0030968;GO:0006486","endoplasmic reticulum unfolded protein response;protein glycosylation","N/A","N/A"
"PF3D7_0305000","PF3D7_0305000.1","1205","Plasmodium falciparum 3D7","Pf3D7_03_v3:233,621..235,461(-)","PF3D7_0305000","10","N/A","N/A","GO:0005515;GO:0003746","protein binding;translation elongation factor activity","GO:0006414","translational elongation","GO:0020011;GO:0005759","apicoplast;mitochondrial matrix","GO:0005515;GO:0003746","protein binding;translation elongation factor activity","GO:0070125;GO:0006414","mitochondrial translational elongation;translational elongation","N/A","N/A"
"PF3D7_0305500","PF3D7_0305500.1","51","Plasmodium falciparum 3D7","Pf3D7_03_v3:261,400..274,210(-)","PF3D7_0305500","10","GO:0005829;GO:0016021","cytosol;integral component of membrane","N/A","N/A","GO:0006895;GO:0015031","Golgi to endosome transport;protein transport","GO:0005768;GO:0016020;GO:0005634;GO:0005777;GO:0005802","endosome;membrane;nucleus;peroxisome;trans-Golgi network","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0308200","PF3D7_0308200.1","1080","Plasmodium falciparum 3D7","Pf3D7_03_v3:361,623..365,130(-)","PF3D7_0308200","10","N/A","N/A","GO:0005524;GO:0051082","ATP binding;unfolded protein binding","GO:0006457","protein folding","GO:0005832;GO:0005829;GO:0005634","chaperonin-containing T-complex;cytosol;nucleus","GO:0051082","unfolded protein binding","GO:0006457","protein folding","N/A","N/A"
"PF3D7_0309600","PF3D7_0309600.1","1563","Plasmodium falciparum 3D7","Pf3D7_03_v3:406,534..408,869(+)","PF3D7_0309600","10","GO:0005840","ribosome","GO:0003735","structural constituent of ribosome","GO:0006414","translational elongation","GO:0020036;GO:0009986;GO:0044228;GO:0005634","Maurer's cleft;cell surface;host cell surface;nucleus","GO:0003723","RNA binding","GO:0044409;GO:0051262","entry into host;protein tetramerization","N/A","2.3.1.94 (6-deoxyerythronolide-B synthase);4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase)"
"PF3D7_0310600","PF3D7_0310600.1","1470","Plasmodium falciparum 3D7","Pf3D7_03_v3:460,848..462,532(-)","PF3D7_0310600","10","GO:0005737;GO:0016282;GO:0033290;GO:0005852","cytoplasm;eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex","GO:0043022;GO:0003743","ribosome binding;translation initiation factor activity","GO:0001732;GO:0006446","formation of cytoplasmic translation initiation complex;regulation of translational initiation","GO:0005852","eukaryotic translation initiation factor 3 complex","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0313700","PF3D7_0313700.1","1098","Plasmodium falciparum 3D7","Pf3D7_03_v3:555,035..558,825(-)","PF3D7_0313700","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0020011","apicoplast","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0314100","PF3D7_0314100.1","1506","Plasmodium falciparum 3D7","Pf3D7_03_v3:568,936..571,598(-)","PF3D7_0314100","10","GO:0005829;GO:0016021;GO:0016020","cytosol;integral component of membrane;membrane","N/A","N/A","GO:0006886;GO:0016192","intracellular protein transport;vesicle-mediated transport","GO:0012507;GO:0005794;GO:0031201;GO:0005789;GO:0031902","ER to Golgi transport vesicle membrane;Golgi apparatus;SNARE complex;endoplasmic reticulum membrane;late endosome membrane","GO:0005484;GO:0000149","SNAP receptor activity;SNARE binding","GO:0006896;GO:0006888;GO:0006891;GO:0006623;GO:0042147;GO:0048280","Golgi to vacuole transport;endoplasmic reticulum to Golgi vesicle-mediated transport;intra-Golgi vesicle-mediated transport;protein targeting to vacuole;retrograde transport, endosome to Golgi;vesicle fusion with Golgi apparatus","N/A","N/A"
"PF3D7_0314100","PF3D7_0314100.2","1506","Plasmodium falciparum 3D7","Pf3D7_03_v3:568,936..571,598(-)","PF3D7_0314100","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0316300","PF3D7_0316300.1","1165","Plasmodium falciparum 3D7","Pf3D7_03_v3:658,272..661,980(+)","PF3D7_0316300","10","GO:0005737","cytoplasm","GO:0004427;GO:0000287","inorganic diphosphatase activity;magnesium ion binding","GO:0006796","phosphate-containing compound metabolic process","GO:0020011;GO:0005829","apicoplast;cytosol","GO:0004427;GO:0000287","inorganic diphosphatase activity;magnesium ion binding","GO:0071344;GO:0006796","diphosphate metabolic process;phosphate-containing compound metabolic process","3.6.1.1 (Inorganic diphosphatase)","3.6.1.1 (Inorganic diphosphatase)"
"PF3D7_0316300","PF3D7_0316300.2","1165","Plasmodium falciparum 3D7","Pf3D7_03_v3:658,272..661,980(+)","PF3D7_0316300","10","GO:0005737","cytoplasm","GO:0004427;GO:0000287","inorganic diphosphatase activity;magnesium ion binding","GO:0006796","phosphate-containing compound metabolic process","GO:0005829","cytosol","GO:0004427;GO:0000287;GO:0016462","inorganic diphosphatase activity;magnesium ion binding;pyrophosphatase activity","GO:0006796","phosphate-containing compound metabolic process","3.6.1.1 (Inorganic diphosphatase)","3.6.1.1 (Inorganic diphosphatase)"
