From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
vectorbase:AARA000880	A0A182HI23	unreviewed	A0A182HI23_ANOAR	Alpha-amylase (EC 3.2.1.1)		Anopheles arabiensis (Mosquito)	878	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AGAP006371	A0A1S4GSK8	unreviewed	A0A1S4GSK8_ANOGA	Alpha-amylase (EC 3.2.1.1)		Anopheles gambiae (African malaria mosquito)	876	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AGAP006371	Q7PNV2	unreviewed	Q7PNV2_ANOGA	Alpha-amylase (EC 3.2.1.1)	AgaP_AGAP006371	Anopheles gambiae (African malaria mosquito)	468	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AGAP006371	Q8WQZ0	unreviewed	Q8WQZ0_ANOGA	Amylase		Anopheles gambiae (African malaria mosquito)	226	carbohydrate metabolic process [GO:0005975]		catalytic activity [GO:0003824]; cation binding [GO:0043169]; carbohydrate metabolic process [GO:0005975]	catalytic activity [GO:0003824]; cation binding [GO:0043169]	GO:0003824; GO:0005975; GO:0043169			
vectorbase:AQUA000932	A0A182WTS7	unreviewed	A0A182WTS7_ANOQN	Alpha-amylase (EC 3.2.1.1)		Anopheles quadriannulatus (Mosquito)	875	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AMEC014899	A0A182U6P5	unreviewed	A0A182U6P5_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles melas	645	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]	GO:0004556; GO:0005975; GO:0043169			
vectorbase:AMEM001625	A0A182UPX9	unreviewed	A0A182UPX9_ANOME	Alpha-amylase (EC 3.2.1.1)		Anopheles merus (Mosquito)	491	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]	GO:0004556; GO:0005975; GO:0043169			
vectorbase:ACUA007778	A0A182M2E8	unreviewed	A0A182M2E8_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles culicifacies	778	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ADAC003304	A0A2M4CMY2	unreviewed	A0A2M4CMY2_ANODA	Alpha-amylase (EC 3.2.1.1)		Anopheles darlingi (Mosquito)	697	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ADAC003304	A0A2M4DPA1	unreviewed	A0A2M4DPA1_ANODA	Putative alpha-amylase i		Anopheles darlingi (Mosquito)	142								
vectorbase:ADAC003304	W5JPZ1	unreviewed	W5JPZ1_ANODA	Alpha-amylase (EC 3.2.1.1)	AND_003304	Anopheles darlingi (Mosquito)	789	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AALB005920	A0A182FHC6	unreviewed	A0A182FHC6_ANOAL	Alpha-amylase (EC 3.2.1.1)		Anopheles albimanus (New world malaria mosquito)	785	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ACHR003565	A0A182JYI3	unreviewed	A0A182JYI3_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles christyi	496	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ASTE000796	A0A182YLT8	unreviewed	A0A182YLT8_ANOST	Alpha-amylase (EC 3.2.1.1)		Anopheles stephensi (Indo-Pakistan malaria mosquito)	558	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AATE013253	A0A182J897	unreviewed	A0A182J897_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles atroparvus	719	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AMIN007997	A0A182WCB7	unreviewed	A0A182WCB7_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles minimus	712	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AFUN005946	A0A182RI81	unreviewed	A0A182RI81_ANOFN	Alpha-amylase (EC 3.2.1.1)		Anopheles funestus (African malaria mosquito)	733	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ASIS008538	A0A084WEI7	unreviewed	A0A084WEI7_ANOSI	Alpha-amylase (EC 3.2.1.1)	ZHAS_00016621	Anopheles sinensis (Mosquito)	724	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ADIR007445	A0A182NIH1	unreviewed	A0A182NIH1_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles dirus	628	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:AFAF005820	A0A182Q9P1	unreviewed	A0A182Q9P1_9DIPT	Alpha-amylase (EC 3.2.1.1)		Anopheles farauti	598	carbohydrate metabolic process [GO:0005975]		alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	GO:0004556; GO:0005975; GO:0046872			
vectorbase:ASTE004235	A0A182XW18	unreviewed	A0A182XW18_ANOST	isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase)		Anopheles stephensi (Indo-Pakistan malaria mosquito)	1219	isoleucyl-tRNA aminoacylation [GO:0006428]		aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0006428			
