From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
PF3D7_1038400	Q8I6U6	unreviewed	Q8I6U6_PLAF7	Gametocyte-specific protein	PF3D7_1038400	Plasmodium falciparum (isolate 3D7)	9563	gamete generation [GO:0007276]	host cell cytoplasm [GO:0030430]; membrane [GO:0016020]	host cell cytoplasm [GO:0030430]; membrane [GO:0016020]; gamete generation [GO:0007276]		GO:0007276; GO:0016020; GO:0030430			
PF3D7_1303800	Q8IES7	unreviewed	Q8IES7_PLAF7	PI3K/PI4K catalytic domain-containing protein	PF3D7_1303800	Plasmodium falciparum (isolate 3D7)	9271		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0826100	Q8IB94	unreviewed	Q8IB94_PLAF7	HECT-like E3 ubiquitin ligase, putative (EC 6.3.2.19)	PF3D7_0826100	Plasmodium falciparum (isolate 3D7)	8591	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; membrane [GO:0016020]	cytoplasm [GO:0005737]; membrane [GO:0016020]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	GO:0000209; GO:0004842; GO:0005737; GO:0006511; GO:0016020; GO:0016567; GO:0043161; GO:0061630			
PF3D7_1434500	Q8ILB9	unreviewed	Q8ILB9_PLAF7	Dynein-related AAA-type ATPase, putative (EC 3.6.4.2)	PF3D7_1434500	Plasmodium falciparum (isolate 3D7)	8105	regulation of ribosomal subunit export from nucleus [GO:2000200]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	membrane [GO:0016020]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]	membrane [GO:0016020]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; regulation of ribosomal subunit export from nucleus [GO:2000200]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0000027; GO:0005524; GO:0005634; GO:0006364; GO:0016020; GO:0016887; GO:0030687; GO:2000200			
PF3D7_1444100	Q8IL30	unreviewed	Q8IL30_PLAF7	MSP domain-containing protein	PF3D7_1444100	Plasmodium falciparum (isolate 3D7)	7231	axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]	axoneme [GO:0005930]	axoneme [GO:0005930]; axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]		GO:0003341; GO:0005930; GO:1904158			
PF3D7_1408700	Q8IM09	unreviewed	Q8IM09_PLAF7	Gamma-tubulin complex component	PF3D7_1408700	Plasmodium falciparum (isolate 3D7)	7182	protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cysteine-type deubiquitinase activity [GO:0004843]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]	cysteine-type deubiquitinase activity [GO:0004843]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]	GO:0004843; GO:0005634; GO:0005737; GO:0070530; GO:0071947			
PF3D7_1021700	Q8IJI6	unreviewed	Q8IJI6_PLAF7	Chorein N-terminal domain-containing protein	PF3D7_1021700	Plasmodium falciparum (isolate 3D7)	6934		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0417400	C0H4B0	unreviewed	C0H4B0_PLAF7	C2 tensin-type domain-containing protein	PF3D7_0417400	Plasmodium falciparum (isolate 3D7)	6769		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_1308400	C0H5A6	unreviewed	C0H5A6_PLAF7	TPR_REGION domain-containing protein	PF3D7_1308400	Plasmodium falciparum (isolate 3D7)	6147		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0905300	Q8I396	unreviewed	Q8I396_PLAF7	Dynein heavy chain, putative	PF3D7_0905300	Plasmodium falciparum (isolate 3D7)	6118	microtubule-based movement [GO:0007018]; outer dynein arm assembly [GO:0036158]	dynein complex [GO:0030286]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]	dynein complex [GO:0030286]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]; microtubule-based movement [GO:0007018]; outer dynein arm assembly [GO:0036158]	ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]	GO:0005524; GO:0005874; GO:0007018; GO:0008569; GO:0030286; GO:0036157; GO:0036158; GO:0045505; GO:0051959			
